Project,Region,exact_allocated_emissions_kgco2,matched_input_share
i-0d51a6e5b6060bdae,eu-3.platform.sh,3.4533835334079236e-06,5.4029211262220936e-11
i-0ec083d968ddb5800,eu-2.platform.sh,3.4364620951062115e-06,5.3764470333210464e-11
i-05a25f79fa54d825d,eu-3.platform.sh,3.4364620951062115e-06,5.3764470333210464e-11
i-026886f0992b842fa,eu-2.platform.sh,3.409669817795165e-06,5.334529719561054e-11
i-0813630e36cdbfb9f,eu-3.platform.sh,3.3899281397765006e-06,5.303643277843166e-11
i-058a081ddbc819b76,eu-3.platform.sh,3.3673662220408827e-06,5.268344487308435e-11
i-007ee0fcf4d08abbf,eu-2.platform.sh,3.3631358624654547e-06,5.261725964083174e-11
i-00c94a6cdceb3c48c,us-2.platform.sh,3.3540687917754533e-06,5.2475402626370296e-11
i-067dea26a299eaf3a,eu-3.platform.sh,3.3405739447298372e-06,5.226427173548444e-11
i-04b3010359877c44a,eu-3.platform.sh,3.3194221468526962e-06,5.1933345574221344e-11
i-036dfcceeba7bb762,eu-3.platform.sh,3.3129355955037065e-06,5.1831861551433996e-11
i-09ad063e58b86a6d3,eu-3.platform.sh,3.2996804688340312e-06,5.162448115704246e-11
i-0455fd747207f6ea4,eu-3.platform.sh,3.2968602291170788e-06,5.158035766887405e-11
i-08fd95bbb8c7d7b11,eu-3.platform.sh,3.291219749683175e-06,5.1492110692537223e-11
i-0446e0745b0ff5a38,eu-3.platform.sh,3.281348910673842e-06,5.133767848394778e-11
i-0fa8f75a0d6c80361,eu-3.platform.sh,3.281348910673842e-06,5.133767848394778e-11
i-007782892bd3a7831,eu-3.platform.sh,3.2757084312399378e-06,5.1249431507610956e-11
i-041086497b7289fcc,eu-4.platform.sh,3.264427472372129e-06,5.10729375549373e-11
i-030cdc070a7e6e8e3,eu-4.platform.sh,3.2503262737873683e-06,5.0852320114095244e-11
i-01b4394473ac7c592,eu-4.platform.sh,3.2404554347780354e-06,5.06978879055058e-11
i-09ad9c0090b5ff0bf,eu-4.platform.sh,3.212253037608514e-06,5.025665302382168e-11
i-0da81a4b4fa8125b5,eu-3.platform.sh,3.2108429177500383e-06,5.023459127973747e-11
i-010501bba4df021f9,eu-3.platform.sh,3.208022678033085e-06,5.0190467791569054e-11
i-06f5324c7a3af4f38,eu-3.platform.sh,3.1953315993068005e-06,4.99919120948112e-11
i-05633dc06bcdc5425,eu-3.platform.sh,3.171359561712708e-06,4.96168624453797e-11
i-0a2c731f55c7facdc,eu-2.platform.sh,3.1671292021372795e-06,4.955067721312708e-11
i-0f05b4cf5dcd28e48,eu-2.platform.sh,3.161488722703375e-06,4.946243023679025e-11
i-0f0c459949a39b475,eu-3.platform.sh,3.161488722703375e-06,4.946243023679025e-11
i-0d66e067e3104c31b,eu-3.platform.sh,3.1600786028448986e-06,4.9440368492706046e-11
i-0699713470b17265c,eu-3.platform.sh,3.157258363127947e-06,4.939624500453764e-11
i-0be42d258e52bbb75,eu-4.platform.sh,3.1516178836940425e-06,4.9307998028200813e-11
i-000cd4ca35521a574,eu-4.platform.sh,3.150207763835567e-06,4.928593628411661e-11
i-01c6e0e61938eca77,eu-4.platform.sh,3.1375166851092815e-06,4.908738058735875e-11
i-0ba590d01ec58925f,eu-3.platform.sh,3.1361065652508055e-06,4.906531884327454e-11
i-0c1918cdba45f8626,eu-3.platform.sh,3.1318762056753775e-06,4.8999133611021926e-11
i-0c331d32c712b981e,eu-4.platform.sh,3.124825606382997e-06,4.88888248906009e-11
i-048dc1e534193c1b4,eu-3.platform.sh,3.124825606382997e-06,4.88888248906009e-11
i-07b38b79d8887fbdc,eu-3.platform.sh,3.1205952468075686e-06,4.882263965834827e-11
i-01678e5331d097f6a,eu-3.platform.sh,3.11580083928875e-06,4.874762972846198e-11
i-016e8ccd8499a0886,eu-3.platform.sh,3.107904168081284e-06,4.862408396159042e-11
i-0dd3d9056c4052d42,eu-2.platform.sh,3.103673808505856e-06,4.8557898729337806e-11
i-030a0f92bf0e8ebbb,eu-4.platform.sh,3.1008535687889036e-06,4.851377524116939e-11
i-09e9a9513bebd6ecd,eu-3.platform.sh,3.1008535687889036e-06,4.851377524116939e-11
i-08e74457b4266531f,eu-2.platform.sh,3.0938029694965235e-06,4.840346652074836e-11
i-0542136322b7b553b,eu-2.platform.sh,3.088162490062619e-06,4.831521954441154e-11
i-02e7b62d2b52f9766,eu-3.platform.sh,3.0839321304871906e-06,4.824903431215892e-11
i-0f26c637de45c714d,eu-3.platform.sh,3.0818169506994766e-06,4.8215941696032605e-11
i-0f7a61258287e1c40,eu-4.platform.sh,3.0797017709117626e-06,4.81828490799063e-11
i-0d97f19096cc52b0d,eu-3.platform.sh,3.0754714113363345e-06,4.811666384765368e-11
i-047a2d7ab773379c3,eu-3.platform.sh,3.0740612914778577e-06,4.809460210356947e-11
i-0d5a45e1a5577e8b7,eu-2.platform.sh,3.0698309319024296e-06,4.8028416871316855e-11
i-0c6d712fb44226203,eu-3.platform.sh,3.0670106921854776e-06,4.798429338314844e-11
i-05e41893a3498c1ce,eu-3.platform.sh,3.061370212751573e-06,4.7896046406811615e-11
i-0974dd0f6a2dfbfcc,eu-4.platform.sh,3.052909493600717e-06,4.776367594230638e-11
i-03fb8dd65d8c9e45e,eu-2.platform.sh,3.052909493600717e-06,4.776367594230638e-11
i-09edf0311e025b7ca,eu-3.platform.sh,3.048679134025288e-06,4.7697490710053756e-11
i-0a8ee794defc37f5b,eu-3.platform.sh,3.0247070964311943e-06,4.732244106062225e-11
i-0baec936ae3883dfa,eu-2.platform.sh,3.020406230862843e-06,4.725515274116542e-11
i-03906fa2b2b1aa2d3,eu-3.platform.sh,2.9979148191201497e-06,4.690326792302234e-11
i-0b4e5ae8eb7b5a832,eu-3.platform.sh,2.9513808637904392e-06,4.6175230368243537e-11
i-0d522aec570103a97,eu-3.platform.sh,2.9499707439319632e-06,4.615316862415933e-11
i-06d9f22f8da60ec3b,eu-3.platform.sh,2.9358695453472023e-06,4.593255118331727e-11
i-025f78eb4d6be0c3d,eu-3.platform.sh,2.9344594254887263e-06,4.5910489439233064e-11
i-04b9c23e3bdf6dc4e,eu-3.platform.sh,2.9243065625076984e-06,4.575164488182678e-11
i-0482a6bc8d818cab9,eu-3.platform.sh,2.9231784666209173e-06,4.573399548655941e-11
i-083c942ef9eaa5c95,eu-3.platform.sh,2.917537987187013e-06,4.5645748510222586e-11
i-0c76326de281a6f66,eu-3.platform.sh,2.9020266687437763e-06,4.540306932529632e-11
i-00d252ebb69f440b9,eu-3.platform.sh,2.8614152168196653e-06,4.476769109567118e-11
i-051f979482fe5bee5,eu-3.platform.sh,2.8540825935555894e-06,4.465297002643331e-11
i-0c899618dcd719b82,eu-3.platform.sh,2.8371611552538765e-06,4.438822909742283e-11
i-0482d8553fbc4cd2e,eu-3.platform.sh,2.78921708006569e-06,4.3638129798559824e-11
i-0255a5857bfbbeb17,eu-3.platform.sh,2.6792277311045552e-06,4.1917313759991745e-11
i-05acbec0c079fb5f3,eu-3.platform.sh,2.676407491387603e-06,4.187319027182333e-11
i-00519b82d32f4995c,eu-3.platform.sh,2.676407491387603e-06,4.187319027182333e-11
i-0d4c715a666a7a9be,eu-3.platform.sh,2.6665366523782707e-06,4.1718758063233886e-11
i-0756ee45952bf75a1,eu-3.platform.sh,2.660332125000976e-06,4.162168638926338e-11
i-01563c9375a7d89d8,eu-3.platform.sh,2.6538455736519858e-06,4.152020236647603e-11
i-0f5c018c3ca1fab80,eu-3.platform.sh,2.6496152140765573e-06,4.145401713422341e-11
i-06ea6ce245f8ad079,eu-3.platform.sh,2.6383342552087484e-06,4.127752318154976e-11
i-045fe6eb289f3b4fd,eu-3.platform.sh,2.6167594213740647e-06,4.093997849706141e-11
i-0391ff66039b71a55,eu-3.platform.sh,2.6121060258410936e-06,4.086717474158353e-11
i-0657d899cbb9ba935,eu-3.platform.sh,2.6087217381807513e-06,4.0814226555781435e-11
i-02eec3fa87800c0a8,eu-3.platform.sh,2.601671138888371e-06,4.07039178353604e-11
i-06c6a79bdfe243b10,eu-3.platform.sh,2.5960306594544664e-06,4.0615670859023576e-11
i-097f054fb9f9dc453,eu-3.platform.sh,2.583339580728182e-06,4.041711516226572e-11
i-0cc26c55b5c5f32cb,eu-3.platform.sh,2.582775532784791e-06,4.0408290464632036e-11
i-03a8413f1490d1f70,eu-3.platform.sh,2.5791092211527534e-06,4.0350929930013103e-11
i-0067e24d2e4cbc562,eu-3.platform.sh,2.577699101294277e-06,4.032886818592889e-11
i-08d57a3e74810ba7f,eu-3.platform.sh,2.5593675431340884e-06,4.0042065512834216e-11
i-072f7ba555b9f46ae,eu-3.platform.sh,2.55513718355866e-06,3.9975880280581596e-11
